title,product_type,vendor,account,privacy_url,tc_url,notes
American Association for the Advancement of Science,E-Journals/Package,AAAS,optional,http://www.sciencemag.org/about/privacy-policy,http://www.sciencemag.org/about/terms-service,
LearnTechLib - Learning and Technology Library,Index/Database,AACE,optional,https://www.learntechlib.org/about/privacy/,https://www.learntechlib.org/about/terms/,
Music Industry Data,Index/Database,Academic Rights Press,optional,None,,
African American Newspapers. Part 1-3,Index/Database,Accessible Archives,optional,None,,
China: Culture and Society,Index/Database,Adam Matthew,optional,http://www.chinacultureandsociety.amdigital.co.uk/Help/PrivacyPolicy,http://www.chinacultureandsociety.amdigital.co.uk/Help/TermsOfUse,
Foreign Office Files for CHINA (1938-1948),Index/Database,Adam Matthew,optional,http://www.archivesdirect.amdigital.co.uk/Help/PrivacyPolicy,http://www.archivesdirect.amdigital.co.uk/Help/TermsOfUse,
"Foreign Office Files for China, 1949-1980",Index/Database,Adam Matthew,optional,http://www.archivesdirect.amdigital.co.uk/Help/PrivacyPolicy,http://www.archivesdirect.amdigital.co.uk/Help/TermsOfUse,
"Foreign Office Files for India, Pakistan and Afghanistan",Index/Database,Adam Matthew,optional,http://www.archivesdirect.amdigital.co.uk/Help/PrivacyPolicy,http://www.archivesdirect.amdigital.co.uk/Help/TermsOfUse,
"Global Commodities: Trade, Exploration and Cultural Exchange",Index/Database,Adam Matthew,optional,http://www.globalcommodities.amdigital.co.uk/Help/PrivacyPolicy,http://www.globalcommodities.amdigital.co.uk/Help/TermsOfUse,
"Literary Manuscripts: 17th and 18th Century Poetry from the Brotherton Library, University of Leeds",Index/Database,Adam Matthew,optional,https://www.amdigital.co.uk/privacy-policy,https://www.amdigital.co.uk/terms-of-use,
"Macmillan Cabinet Papers, 1957-1963",Index/Database,Adam Matthew,optional,http://www.archivesdirect.amdigital.co.uk/Help/PrivacyPolicy,http://www.archivesdirect.amdigital.co.uk/Help/TermsOfUse,
Medieval Family Life,Index/Database,Adam Matthew,optional,https://www.amdigital.co.uk/privacy-policy,https://www.amdigital.co.uk/terms-of-use,
Popular Culture in Britain and America 1950-1975,Index/Database,Adam Matthew,optional,http://www.rockandroll.amdigital.co.uk/Help/PrivacyPolicy.aspx,http://www.rockandroll.amdigital.co.uk/Help/TermsOfUse.aspx,
"Romanticism: Life, Literature and Landscape",Index/Database,Adam Matthew,optional,http://www.romanticism.amdigital.co.uk/Help/PrivacyPolicy.aspx,http://www.romanticism.amdigital.co.uk/Help/TermsOfUse.aspx,
